assigned_topic,topic_label,n_errors,most_confused_true,most_confused_pred,n_total,error_rate
13,13_takes wife_father law_mother law_horse,1,et (1),uk (1),1,1.0
14,14_young maiden_maiden young_maiden hears_maidens,3,et (3),uk (3),3,1.0
23,23_battle_cheerful_trumpets_soldiers,2,et (1),uk (2),2,1.0
28,28_shepherdess_shepherd_sheep_wolf,4,et (2),uk (2),4,1.0
32,32_mary_little jesus_christ born_given mother,2,et (2),uk (2),2,1.0
30,30_saint nicholas_nicholas saint_nicholas good_child golden,9,uk (5),nl (5),11,0.8181818181818182
0,0_fate_weaving_wind_song,465,ko (267),uk (465),671,0.6929955290611028
34,34_maids_husband home_husband_heaven,31,ko (14),cs (28),47,0.6595744680851063
35,35_honzíček_monastery_maidens young_set beloved,34,ko (15),et (29),52,0.6538461538461539
15,15_bridegroom_altar_bridesmaids_maid,5,cs (2),nl (3),8,0.625
11,11_sails_ashore_ship_weaving,5,ko (5),uk (5),8,0.625
31,31_lullaby_lullaby lullaby_lullaby little_lullaby baby,3,ko (3),uk (2),5,0.6
29,29_bridesmaid_bridesmaids_bid farewell_little kiss,46,ko (30),cs (45),82,0.5609756097560976
21,21_young lad_stallions_crying young_village,4,ko (4),et (4),8,0.5
24,24_lullaby baby_baby lullaby_lullaby little_lullaby,5,ko (2),et (3),10,0.5
18,18_lullaby lullaby_lullaby_lullaby baby_sleeps lullaby,12,et (4),ko (7),35,0.34285714285714286
36,36_village maiden_singing forest_meadow_golden bird,1,et (1),uk (1),3,0.3333333333333333
22,22_little bird_golden bird_hare_mandarin duck,2,ko (2),et (2),6,0.3333333333333333
26,26_love sorrow_married dear_god dear_great sorrow,7,ko (3),cs (5),29,0.2413793103448276
27,27_parting_maiden_fair maiden_wreath,2,ko (1),cs (1),14,0.14285714285714285
20,20_bridegroom bride_bride_wedding_wedding feast,10,uk (4),nl (7),100,0.1
33,33_lullaby lullaby_lullaby_lullaby baby_sleep lullaby,4,uk (4),ko (4),42,0.09523809523809523
19,19_lullaby lullaby_lullaby_lullaby baby_baby sleeps,2,ko (1),et (1),47,0.0425531914893617
