Topic,Count,Name,Representation,Representative_Docs
-1,1199,-1_maiden_village_bride_servant,"['maiden', 'village', 'bride', 'servant', 'father', 'daughter', 'sisters', 'mother', 'brothers', 'horse']","['I had one and only son  \r\nHe hurried to live without a woman  \r\nTo manage without a partner.  \r\nHe started living, he started being,  \r\nBut he couldn\'t live without a woman  \r\nNor manage without a partner.  \r\nHe went from home to the courting path  \r\nFor a short time to the path of maidenhood.  \r\nHe came back home from courting,  \r\nThen went to the back room,  \r\nPut his hat on the table,  \r\nGloves on the edge of the hat,  \r\nBut himself started to cry.  \r\nThen the father asked his son,  \r\n""Why are you crying, young son?""  \r\n""Why am I crying, dear father?  \r\nI cannot live without a woman  \r\nNor manage without a partner.  \r\nSo I went briefly on the courting path  \r\nFor a short time on the maiden\'s way.  \r\nThe girls did not tolerate me  \r\nThey started to bark at me:  \r\n\'You don’t have a riffle shirt on,  \r\nA riffle shirt, a silk vest,  \r\nA cardaman at your neck,  \r\nAnd German boots on your feet.\'""  \r\nThen the father understood and answered:  \r\n""Don\'t cry, young son,  \r\nLet\'s go to Riga to buy clothes,  \r\nWe\'ll buy you a riffle shirt,  \r\nA riffle shirt, a silk vest,  \r\nA cardaman to the neck,  \r\nAnd German boots for your feet.""  \r\n""Then I went again on the courting path,  \r\nFor a short time on the maiden\'s way.  \r\nThe girls then loved me,  \r\nThey embraced me warmly,  \r\nAnd kissed me sweetly.  \r\nThen I came home from courting,  \r\nI brought a wife to the house,  \r\nBrought a daughter-in-law to the doorstep,  \r\nHer chest was shining with jewelry,  \r\nHer apron with proud lace.""', ""When I begin to compose poetry  \r\nTo sing poetry  \r\nThe whole village stays to listen  \r\nThe whole parish stays to watch  \r\nMy weary words  \r\nA child's bad song  \r\nWhere did this child get those words  \r\nFrom which words did they start  \r\nShe went to Harju to study  \r\nTo take a melody from Viru  \r\nI heard, I answered back  \r\nShe did not go to Harju to study  \r\nShe did not go to Viru to take a melody  \r\nIn Harju studied the sisters  \r\nIn Viru the brother's wife  \r\nThey took, they took, the dear sisters  \r\nThey took me to a Viru man  \r\nThey made me beat my thigh  \r\nBetween five brothers  \r\nAt the hand of the sixth  \r\nThere my field became ruined  \r\nMy linen sack became sooty  \r\nI went to the village to plow  \r\nTo borrow an ox from my father-in-law  \r\nTo steal some gold  \r\nThe villager took the ox to the village  \r\nThe father-in-law took the ox to the cellar  \r\nThe stolen goods to the chamber  \r\nI took it and got angry  \r\nI throw away my father-in-law’s shirt  \r\nI throw away my mother-in-law’s shirt  \r\nImmediately even my socks  \r\nThe villager brought the ox to the village  \r\nThe father-in-law brought it to the cellar  \r\nThe stolen goods to the chamber  \r\nWash well, maiden  \r\nWash well, fine one  \r\nMake yourself white and clean."", 'Village boys, scythes at their belts,  \r\nYoung men, knives at their belts.  \r\nMy fiancé, buckle at his belt,  \r\nMy husband at Kalev\'s belt.  \r\nDrinks a sip from the trough,  \r\nPulls toward the village\'s end,  \r\nDown to the village mill.  \r\nThrows the reins on the apple tree,  \r\nThe bridle in the linden tree.  \r\nThe riders in the blue cloak.  \r\nThen he goes to look for the horse.  \r\nComes toward the maiden’s group,  \r\nDriving the cattle at a distance.  \r\n""Maiden, young man,  \r\nDid you see my horse?""  \r\n""Sweetheart, little brother,  \r\nWhat color is your horse?  \r\nMaybe I saw it, but I don’t know.""  \r\n""Maiden, young man,  \r\nMy horse is very beautiful:  \r\nGolden-colored coat,  \r\nFlaxen mane, leaf-shaped spots.  \r\nShackles on its feet,  \r\nGolden bell on its neck,  \r\nSilver bridle on its head,  \r\nCopper bit in its mouth.""  \r\n""Sweetheart, little brother,  \r\nThat was your horse.""  \r\nPassed through our yard,  \r\nDrank our river water,  \r\nTasted our sea water,  \r\nTouched the village wells.""  \r\n""Come, come, young men,  \r\nCome to the horse market,  \r\nTo listen to the golden bells.""']"
0,1845,0_maiden_servant_willow_daughter,"['maiden', 'servant', 'willow', 'daughter', 'tree', 'mother', 'slave', 'village', 'horse', 'leaves']","['Daughter-in-law created a lazy one  \r\nThe created lazy one was called lazy  \r\nShe did not bother to fetch water  \r\nWater for the maiden’s eyes  \r\nPorridge water for the family  \r\nShe sent Aas to fetch water for the cat  \r\nThe cat went into the water and splashed  \r\nIts tail was flicking  \r\nI will go to the village to bring ropes  \r\nFrom Nigul, I bring a flax rope  \r\nFrom Tõnu Jüri, a tarred rope  \r\nFrom Kandel, a hemp rope  \r\nI will start pulling the cat  \r\nThe hemp ropes broke  \r\nThe flax ropes snapped  \r\nThe tarred rope pulled it out  \r\nThe cat was put into the cage  \r\nThen there was regret for the new cage  \r\nMore regret for the cage’s water  \r\nBut the mouse watches from the corner  \r\nGood, good, good, good little cat  \r\nWhere did you put my spruce’s seedlings?  \r\nSeven good comrades  \r\nEight elder brothers  \r\nNine good fathers  \r\nTen young men from the village  \r\nAll were in the cat’s backside.  \r\nInto the stomach of the black marten  \r\nWhat of that cat to us  \r\nFrom the side got ten  \r\nFrom the tail got tail straps  \r\nFrom the nose the girl got shoes  \r\nFrom the head little patches', 'I saw the maiden growing;\r\nBy the blue fence\r\nSwelling with a red wreath;\r\nRising in a tin crown.\r\nI, from the stables;\r\nFrom the coal-black haven,\r\nFrom the window I gave barley,\r\nIn the shadows I carried water;\r\nWithout the old woman\'s knowledge,\r\nWithout the old man\'s knowledge,\r\nThat I gained the horse\'s strength.\r\nIn front I put sturdy irons;\r\nBehind irons from the threshing floor.\r\nThen I harnessed the horse.\r\nAfter that I put on the bridle,\r\nOn top I put a playful bow,\r\nEyes into silk reins,\r\nEyebrows into golden rings,\r\nTail into a braid,\r\nBrushed the mane to one side.\r\nI rode to the father-in-law\'s door,\r\nI rode to the mother-in-law\'s door:\r\n""Hello, father-in-law! Boot-tops,\r\nHello, mother-in-law! Neck of the kettle,\r\nAre your maidens at home?""\r\nThe mother-in-law understood, answered:\r\n""Our daughters are at the well,\r\nDrawing water at the well.""\r\nI ride to the well road:\r\n""Hello, dear maiden!\r\nDrawing water with the bucket,\r\nTo water all the village\'s herd;\r\nTo water my horse at the well.\r\nLet my black one paw,\r\nLet my gray one sway,\r\nLet my dappled one tug,\r\nMove on the linen cloth.\r\nI, a poor wayfarer,\r\nWayfarer, knower of lands;\r\nLord of matters,\r\nMessenger of kings,\r\nKeeper of the town council\'s book,\r\nA postman from St. Petersburg.""\r\nThe maiden hears, answers again:\r\n""You are not a poor wayfarer,\r\nWayfarer, knower of lands,\r\nLord of matters,\r\nMessenger of kings,\r\nKeeper of the town council\'s book,\r\nPostman from St. Petersburg.\r\nYou are an evil suitor,\r\nAnd a deceitful groom:\r\nWhy is your horse harnessed?\r\nBrushed mane and swayed tail?\r\nWhy do you have locks on the bridle?\r\nWhy do you have an eagle\'s skull?\r\nA headgear in the harness?\r\nA sparrow in the reins?""\r\nI heard, answered again,\r\n""I have at home an old father\r\nWho makes the locks on the bridle.\r\nI have at home a little brother\r\nWho is my horse\'s groom,\r\nBrushed mane and swayed tail.\r\nHe puts the tail in a braid,\r\nEyes in silk reins,\r\nEars in golden rings.\r\nI have at home a little sister\r\nWho makes the letters on gloves\r\nWho makes lace on the whip...""', 'The crow, the gentle little bird  \r\nWearing a blue shirt  \r\nBelow is an unlined quilt  \r\nFlew over three forests  \r\nThree are the forests of Kõrvistik  \r\nOne is the golden spruce forest  \r\nThe second is the dear birch forest  \r\nThe third is the beautiful apple tree forest  \r\nWhat is the golden spruce forest?  \r\nIt is the forest of young men.  \r\nWhat is the dear birch forest?  \r\nIt is the forest of young women.  \r\nWhat is the beautiful apple tree forest?  \r\nIt is of the young maidens.  \r\nFlew over three fields  \r\nThree were the fields of Kõrvistik:  \r\nOne is the dear oat field  \r\nThe second is the rye field of Ruuge  \r\nThe third is the beautiful wheat field  \r\nWhat is the dear oat field?  \r\nIt is the field of young men  \r\nWhat is the rye field of Ruuge?  \r\nIt is the field of young women  \r\nWhat is the beautiful wheat field?  \r\nIt is of the young maidens.  \r\nFlew over three lakes,  \r\nThree were the lakes of Kõrvistik  \r\nOne was the lake of wrath, Viinajärv  \r\nIt is the lake of young men  \r\nThe second is the dear rocky lake  \r\nIt is the lake of young women  \r\nThe third is the lake of sweet honey  \r\nIt is of the young maidens  \r\nFlew into our cage  \r\nWe have three nests in the cage  \r\nOne was a blue nest  \r\nThe second was a red nest  \r\nThe third was golden-haired  \r\nHe despised the blue nest,  \r\nHe despised the red nest  \r\nHe began to love gold  \r\nHe began making a nest:  \r\n""Made one, made two  \r\nMade three at the top  \r\nFour in the week  \r\nThen he began to lay eggs:  \r\nLaid one, laid two,  \r\nLaid three at the top  \r\nFour in the week  \r\nThen he began making chicks:  \r\nMade one, made two  \r\nMade three at the top  \r\nFour in the week.  \r\nA quarter, five in number  \r\nThe chicks became bloodthirsty  \r\nThen he began counting the chicks:  \r\n""The first was the handsome father  \r\nThe second was the quiet mother  \r\nThe third became the dog boy  \r\nThe fourth became the watchman  \r\nThe fifth became the playboy  \r\nThe playboy above all  \r\nHe went from Narva to bring a bride  \r\nFrom Peterborough wedding guests  \r\nAt Säsnamäe he sang tales  \r\nAt the market he beat the drum  \r\nSo that those walls trembled  \r\nThe foundations cracked  \r\nKettles broke on the fire  \r\nDown went Major’s house  \r\nPots and pans shattered  \r\nWall clocks off the walls.']"
1,39,1_anne_bride_wife_maiden,"['anne', 'bride', 'wife', 'maiden', 'sisters', 'daughter', 'servant', 'lady', 'mother', 'slave']","[""Oh our dear brothers or we brothers-in-law  \r\nTogether we are stepbrothers  \r\nWe eat the same food  \r\nWe drink the same drink  \r\nWe do not take the same wife  \r\nOne takes another wife  \r\nOne takes another old woman's daughter  \r\nOne takes another old man's daughter  \r\nYou take Maie, I take Kaie  \r\nKaie was quick with work  \r\nMai was clumsy with her foot  \r\nAnne was assigned to me  \r\nAnd Kaie was traded to me  \r\nI do not take Anne as a wife  \r\nNor do I take Kaie as a wife  \r\nAnne was given torn shirts  \r\nKaie had broken sleeves  \r\nI flirted around Liisu  \r\nHad to go to Pilla  \r\nI ended up sleeping with Malle  \r\nMalle was sweeter to me  \r\nThan those Pilla's milk cakes."", ""Ants was from Arju, Jaan was from Järva,  \r\nKoka Miku was from Koala,  \r\nHe bought a casque from Arjusta,  \r\nA saddle from Saare's German.  \r\nThen he went on a trip to Finland,  \r\nWith the daughter of a Finnish merchant.  \r\nOne was Anne, another Maie,  \r\nThe third Kaie from Kierukanda.  \r\nAnne was naked by the stove,  \r\nMai was bare-bottomed on the pig pen,  \r\nKai was lying face down on the roof,  \r\nLeenu was under the stake,  \r\nHolding a soup ladle;  \r\nListen, dear young man:  \r\nWhy are you traveling on the road?  \r\nI am looking for my girl,  \r\nA redhead from Piiakesta.  \r\nListen, dear young man,  \r\nIs there an iron wagon,  \r\nA bream-scaled sleigh,  \r\nA little red one,  \r\nA small grayish one,  \r\nWhy do you come to Kurna to the wedding,  \r\nDo you come to Nagala to take a wife?  \r\nCome, you dear one, to listen to gold,  \r\nTo look for a bride,  \r\nTo bargain for a tin chest,  \r\nTo look at a copper chest."", ""Let's go to the Koiki bride's meadow\r\nDaughters of the Koigi smith\r\nThe smith of Koigi had three daughters\r\nOne was Anne - the second Kaie\r\nThe third slippery Liisukene\r\nAnne was naked by the stove\r\nKaie was bare-legged by the ironing board\r\nLiisu was under the flax bundle\r\nAnne was meant for me\r\nAnd Kaie was also bargained for me\r\nI will not take Anne as a wife\r\nNor do I want to marry Kaie\r\nAnne had torn shirt sleeves\r\nKaie had broken stockings\r\nI crawled around Liisu\r\nLiisu had beautiful linen.""]"
2,39,2_linen_yarn_cloth_silk,"['linen', 'yarn', 'cloth', 'silk', 'servant', 'tin', 'maiden', 'bride', 'slave', 'father']","['Droplet droplet little needle  \r\nDroplet needle-eye  \r\nThe needle did not disappear in the seat  \r\nMy needle disappeared into the needles  \r\nSewing new humming  \r\nArranging family things  \r\nIn the evening I sew sister’s shirt  \r\nAt twilight brother’s shirt  \r\nAt dawn sweetheart’s shirt  \r\nIn darkness father-in-law’s shirt  \r\nIn gloom fiancé’s shirt  \r\nThe needle disappeared in the heath  \r\nIn the woods  \r\nIn the golden-eye spruce forest  \r\nIn the field of oats  \r\nYoung men brothers  \r\nSome were rich in money  \r\nSome were famous for their purses  \r\nCome to demand the needle  \r\nTo listen for the golden-eye  \r\nRaise the needle, jump the needle  \r\nRaise the round needle  \r\nJump the square needle  \r\nTie the needle’s legs sharp  \r\nYou are my soul needle  \r\nYou are the smooth sequin needle  \r\nThe needle that sparks and sizzles  \r\nRaise the barley bean  \r\nJump the bear’s oats  \r\nBring the mountainous beans  \r\nWith a bunch of oats', ""Drip, drip, little needle\r\nDrip, needle eye\r\nThe needle did not disappear in the foam\r\nThe needle disappeared while working\r\nInto the green eye's desert\r\nOnto the tin eye's path\r\nInto the gold eye's meadow\r\nIn the evening, I sewed my sister's shirt\r\nAt dusk, my fiancé's shirt\r\nAt twilight, my brother's shirt\r\nAt dawn, the bride's shirt\r\nAt night, the father-in-law's shirt\r\nThe needle did not disappear in the foam\r\nThe needle disappeared while working\r\nWho went through our yard\r\nA horse went through our yard\r\nTasted our well water\r\nTasted our sea water\r\nPulled without tar, without oil."", ""Drip, drip, little needle,  \r\nDrip, little needle's eye.  \r\nThe needle would disappear in the heath,  \r\nThe copper needle to the oven,  \r\nThe golden needle into the chest,  \r\nThe tin needle into the thicket,  \r\nThe green eye into the willow grove.  \r\nThe slave sought donkeys,  \r\nThe aunt's children sought uncles.  \r\nThe slave did not look for good things,  \r\nThe aunt's child did not know me.  \r\nMy slave searched for pine wood,  \r\nThe aunt's children for oak wood.  \r\nI went slowly,  \r\nAlong the road but very small steps.  \r\nI found the needle at the needle's mast,  \r\nIn a cloud of linen weaving,  \r\nPeeking at the groom's shirt,  \r\nThe father-in-law's shirt, the mother-in-law's shirt,  \r\nThe broad father-in-law's shirt,  \r\nThe delicate mother-in-law's shirt,  \r\nWith narrow cuffs,  \r\nAnd knitted little mittens.""]"
3,33,3_sparrow_garden_bean_whistle,"['sparrow', 'garden', 'bean', 'whistle', 'forest', 'yard', 'horn', 'look', 'brother', 'anne']","['Tit, tit, the titmouse,  \r\nlook, look, the sparrow  \r\nflew over the bean field,  \r\njumped over the cabbage patch,  \r\nover the forest, off it goes!', 'Tit, tit titmouse,  \r\nlook, look sparrow,  \r\nfly over the bean field;  \r\njump over the cabbage patch,  \r\nover the forest, whir!', 'Tit tit chickadee,  \r\nLook, look sparrow,  \r\nLieri looli lark,  \r\nborder prince swallow,  \r\njump over the bean field,  \r\nhop over the cabbage patch,  \r\nover the forest – whizz!']"
4,27,4_bread_oats_bean_willow,"['bread', 'oats', 'bean', 'willow', 'cat', 'garden', 'leaves', 'clothes', 'maiden', 'soup']","['Was the cat beautifully blossomed?  \r\nThe pea was beautifully blossomed.  \r\nWas the cat somewhat elongated?  \r\nThe bean was somewhat elongated.  \r\nWas the cat liter-larger?  \r\nThe lentil was liter-larger.  \r\nWho had a silk shirt on their back?  \r\nThe rye had a silk shirt on its back.  \r\nWas the cat naked?  \r\nThe wheat was naked.  \r\nWho had long rough hair?  \r\nThe barley had long rough hair.  \r\nWho had long pants on?  \r\nThe oats had long pants on.', 'The cat was on a beautiful flower\r\nAnd had a flower in its vagina?\r\nErnes was on a beautiful flower\r\nAnd had a flower in its vagina.\r\nThe cat was a bit tallish?\r\nThe bean was a bit tallish.\r\nThe cat was liter-lattergune?\r\nThe lentil was liter-lattergune.\r\nWho had a silk shirt on their back?\r\nThe rye had a silk shirt on its back.\r\nThe cat was naked?\r\nThe wheat was naked.\r\nWho had long curly hair?\r\nThe barley had long curly hair.\r\nWho had long pants on their legs?\r\nThe oats had long pants on.', 'Let us guess, let us guess, dear brothers,  \r\nLet us reckon, eager women:  \r\n""Who has those rust-colored hairs?""  \r\nI hear again, I respond:  \r\n""What is wrong with guessing,  \r\nIt was said earlier halfway through:  \r\n""The rye has those rust-colored hairs.""  \r\n\r\nLet us guess, let us guess, dear brothers,  \r\nLet us reckon, eager women:  \r\n""Who had a Moor\'s hat on their head?""  \r\nI hear again, I respond:  \r\n""What is wrong with guessing,  \r\nIt was said earlier halfway through:  \r\n""The barley had a Moor\'s hat on its head.""  \r\n\r\nLet us guess, let us guess, dear brothers,  \r\nLet us reckon, eager women:  \r\n""Who had long trousers on their legs?""  \r\nI hear again, I respond:  \r\n""What is wrong with guessing,  \r\nIt was said earlier halfway through:  \r\n""The oats had long trousers on its legs.""  \r\n\r\nLet us guess, let us guess, dear brothers,  \r\nLet us reckon, eager women:  \r\n""Who was rarely pike-like?""  \r\nI hear again, I respond:  \r\n""What is wrong with guessing,  \r\nIt was said earlier halfway through:  \r\n""The potato was rarely pike-like.""  \r\n\r\nLet us guess, let us guess, dear brothers,  \r\nLet us reckon, eager women:  \r\n""Who was a bit elongated?""  \r\nI hear again, I respond:  \r\n""What is wrong with guessing,  \r\nIt was said earlier halfway through:  \r\n""The bean was a bit elongated.""  \r\n\r\nLet us guess, let us guess, dear brothers,  \r\nLet us reckon, eager women:  \r\n""Who was quite round?""  \r\nI hear again, I respond:  \r\n""What is wrong with guessing,  \r\nIt was said earlier halfway through:  \r\n""The pea was quite round.""  \r\n\r\nLet us guess, let us guess, dear brothers,  \r\nLet us reckon, eager women:  \r\n""Who was broad and flat?""  \r\nI hear again, I respond:  \r\n""What is wrong with guessing,  \r\nIt was said earlier halfway through:  \r\n""The lentil was broad and flat.""  \r\n\r\nLet us guess, let us guess, dear brothers,  \r\nLet us reckon, eager women:  \r\n""Who was the king of the spruce forest?""  \r\nI hear again, I respond:  \r\n""What is wrong with guessing,  \r\nIt was said earlier halfway through:  \r\n""The cuckoo was the king of the spruce forest.""  \r\n\r\nLet us guess, let us guess, dear brothers,  \r\nLet us reckon, eager women:  \r\n""Who was the forest maiden?""  \r\nI hear again, I respond:  \r\n""What is wrong with guessing,  \r\nIt was said earlier halfway through:  \r\n""The capercaillie was the forest maiden.""  \r\n\r\nLet us guess, let us guess, dear brothers,  \r\nLet us reckon, eager women:  \r\n""Who was the lady of the willow thicket?""  \r\nI hear again, I respond:  \r\n""What is wrong with guessing,  \r\nIt was said earlier halfway through:  \r\n""The hare was the lady of the willow thicket.""']"
5,27,5_bride_sparrow_eggs_daughter,"['bride', 'sparrow', 'eggs', 'daughter', 'barn', 'bow', 'willow', 'tin', 'mother', 'golden']","['Rooster-rooster, rat’s wedding!  \r\nThe Irish daughter got married  \r\nTo the son of a young poor mother.  \r\nWhat proud wedding guests they were!  \r\nThe rooster was proud, wearing a crown,  \r\nThe hen wore a coarse apron,  \r\nThe duck had a new beak,  \r\nThe bear had two drums;  \r\nThe fox came with a sled,  \r\nThe crow with copper shoes,  \r\nThe titmouse with a tin sled...  \r\nThe poor fool was driven away...', ""The mouse's daughter married  \r\nNirgi's young son;  \r\nThey had proud bridesmaids;  \r\nThe rooster drank from a golden cup,  \r\nThe hen from a golden bowl,  \r\nThe pig from a silk soy cup,  \r\nThe crow from a copper chariot,  \r\nThe titmouse from a tin teapot."", ""Oiu-roiu rat's wedding  \r\nThe mouse's daughter got married  \r\nTo Nirgi's younger son  \r\nWho was invited to the wedding?  \r\nThere were proud wedding guests:  \r\nThe wolf came with a new violin  \r\nThe bear with two kantele (Finnish zithers)  \r\nThe crane with golden spurs  \r\nThe crow with copper boots  \r\nThe titmouse with a tin hat  \r\nThe woodpecker wore iron clothes  \r\nThe titmouse brewed beer  \r\nThe swallow broke wood  \r\nThe weasel twisted a whip  \r\nThe poor hen carried water  \r\nThe rooster followed on crutches  \r\nThe sparrow cooked soup  \r\nThe moorhen brewed sour beer  \r\nThe magpie's beard was shaved  \r\nThe crow's pain was taken away  \r\nThe duck's rear was patched  \r\nAnd the bells were cut off from the jaws.""]"
6,15,6_tail_went_head_goes,"['tail', 'went', 'head', 'goes', 'horn', 'crooked', 'leg', '', '', '']","['The dog went to the herd in a group,  \r\ntail drooping, the foot in a rut.  \r\nFrom the herd home, carefully winding.', 'The dog went to the herd compa-kapa\r\ntail drooping in the hollow.\r\nFrom the herd home twisting turning twisting,\r\ntimpa tampa tirdi.', ""The dog went to the herd's timpa tompa,  \r\nits tail was in a ditch, its tail was crooked,  \r\nfrom the herd to home with a twist and turn,  \r\ntimpa, tampa, tirdi.""]"
7,15,7_tree_sisters_leaves_daughter,"['tree', 'sisters', 'leaves', 'daughter', 'young men', 'sister', 'women', 'beer', 'bark', 'spruce']","['Understand, understand, my sisters,  \r\nTake notice, wise women.  \r\nWhat can be seen from the hill?  \r\nAn apple tree can be seen from the hill.  \r\nHow many branches does the apple tree have?  \r\nThe apple tree had three branches.  \r\nHow many blossoms on the branches?  \r\nThere were three blossoms on the branches.  \r\nHow many apples on the branches?  \r\nThere were three apples on the branches.  \r\nOne was engraved on the bark,  \r\nAnother sealed with wax,  \r\nThe third was written in gold  \r\nWhat was engraved on the bark,  \r\nThat is my own apple.  \r\nWhat was sealed with wax,  \r\nThat is my dear bride’s apple,  \r\nWhat was written in gold,  \r\nThat is a deceitful peacock,  \r\nPicking the young men,  \r\nI am taking the man’s path,  \r\nTrying the bride’s customs,  \r\nWhether there is a wretched wine drink,  \r\nOr a slender beer drink.  \r\nTherefore, thanks to the man’s sister,  \r\nThe man’s sister, the man’s room,  \r\nFor not raising a bride for me,  \r\nNor attracting a young man,  \r\nThere was no wretched wine drink,  \r\nNor a slender beer drink.  \r\nNo beer is given without money,  \r\nNo rage without a barrel of wine,  \r\nNo German coin without a guest room.', 'Understand, understand, my sisters,\r\nInquire, wise women,\r\nWhat is seen from the apple tree hill?\r\nThe apple tree is seen from the hill.\r\nHow many branches does the apple tree have?\r\nThe apple tree has three branches.\r\nHow many flowers does the branch have?\r\nThe branch has three flowers.\r\nHow many apples does the flower have?\r\nThe flower has three apples:\r\nOne is dipped in honey,\r\nAnother is coated in wax,\r\nThe third is written in gold.\r\nWhat is dipped in honey -\r\nThat is my own apple;\r\nWhat is coated in wax -\r\nThat is my dear wife’s apple;\r\nWhat is written in gold -\r\nWith that I deceive the suitors,\r\nI pick the young men.\r\nI tempt the man with songs,\r\nI test my wife with sweets,\r\nWhether there is a pipe for spirits,\r\nOr a slim loaf of bread.\r\nNo beer is given without money,\r\nNo anger is stirred into the spirits,\r\nNo German coin without a thaler.', 'Understand, understand, young men,\r\nGuess, eager boys.\r\nKnow again, wise women,\r\nLinen aprons, little birds,\r\nHeads with smooth brows.\r\nHow many apple trees in the village,\r\nHow many branches on the apple tree,\r\nHow many branches with blossoms,\r\nHow many apples on the blossom,\r\nUnderstand, understand why you don’t understand.\r\nThere were three apple trees in the village,\r\nThree branches on the apple tree,\r\nOne was a plum of the apple blossom,\r\nThree were a plum of the apple branch.\r\nFrom the north rose great winds,\r\nRolling an apple into the sea.\r\nWhat came out of the sea?\r\nA little blue sparrow,\r\nBlue sparrow, with a mottled neck,\r\nWith a low mottled neck.\r\nIt came to the shore to explain.\r\nUnderstand, understand, young men,\r\nGuess, eager boys.\r\nKnow again, wise women.\r\nHow many blossoms in the courtyard,\r\nHow many nests in the linden tree,\r\nHow many flowers on the sand hill?\r\nFrom the nest came a golden flock,\r\nThen the boys began to speak:\r\nGive me a golden button,\r\nI’ll go play on the hill,\r\nAnd roll apples on the table,\r\nI went to flip the sieve,\r\nRoll a silver apple.\r\nThe sieve fell in the churchyard,\r\nFell on my father’s grave,\r\nIt opened the grave doors,\r\nGrave doors, tomb lids,\r\nTomb lids, sandy drifts.\r\nLook inside, mother:\r\nWhat did I find father doing?\r\nWhat did I find mother doing?\r\nI found father counting money,\r\nWho do you count money for, dear father?\r\n“For no one else but for my daughter,\r\nSince you became a poor orphan early,\r\nTo quiet the parish early,\r\nTo rock the parish cradle early,\r\nYou were left to the care of strangers,\r\nYou were left to nurse at the breast,\r\nYou were left to soothe the widow.\r\nWidow’s milk soothes the alder,\r\nBreast milk is bitter.”\r\nWhat did I find mother doing?\r\nI found her weaving cloth.\r\nWho do you weave cloth for, mother?\r\nFor no one else but for my daughter,\r\nSince you became a poor orphan early,\r\nTo quiet the parish early,\r\nTo rock the parish cradle.\r\nYou were left to the care of strangers.\r\nWhat did I find brother doing?\r\nI found him fastening the coffin.\r\nWhat did I find sister doing?\r\nSister was knitting stockings,\r\nKnitting stockings of seven threads,\r\nSo I would have an axe in my hand,\r\nTo chop the broken cart shaft,\r\nCart shafts, cart poles,\r\nTo take father’s grey spruce,\r\nMother’s calming jester,\r\nThe gilded hat,\r\nSister’s blue scrubbing brush,\r\nBrother’s worn coat.']"
8,11,8_crooked_road_aunt_lady,"['crooked', 'road', 'aunt', 'lady', 'beer', 'whistle', 'woman', 'pipe', 'path', 'wife']","['Hiiu road crooked  \r\nThe reed woman crooked  \r\nBut poured crooked spirits  \r\nUurakille beer makers  \r\nReed aunt, reed uncle  \r\nProtect your beautiful daughter  \r\nGuard your dear daughter  \r\nMany men come to the reed place  \r\nDon’t let her be taken away  \r\nMany people come to the reed place  \r\nBlacksmith fellows, mill lads  \r\nEspecially city men', 'The winding road was crooked  \r\nThe pub woman walked crooked  \r\nShe poured crooked vodka jugs  \r\nFrom the Uurakille beer jugs  \r\nFrom the Kaarakille braga jugs.', 'The crooked road was crooked,  \r\nThe tavern woman walked crooked,  \r\nPoured crooked wine barrels,  \r\nBeer bottles in disorder,  \r\nRock jugs on the slope.  \r\nThe tavern was taken, the dogs were taken,  \r\nNo drinking without money,  \r\nNo kopik to anyone,  \r\nNo beer without waiting,  \r\nNo kvass without carrying.  \r\nTavern lady, oh grain talk!  \r\nWith willow bark reins on her head.']"
