id	assigned_topic	topic_label	lang
Erb_1809	0	0_spirit_flowers_maiden_wind	cs
Erb_1811	8	8_bride_wedding_maidens_marriage	cs
Erb_1814	0	0_spirit_flowers_maiden_wind	cs
Erb_1815	8	8_bride_wedding_maidens_marriage	cs
Erb_1816	4	4_little birds_horses_horse_poor parish	cs
Erb_1817	7	7_tended herd_servant_plow_shepherd	cs
Erb_1818	0	0_spirit_flowers_maiden_wind	cs
Erb_1819	0	0_spirit_flowers_maiden_wind	cs
Erb_1820	0	0_spirit_flowers_maiden_wind	cs
Erb_1821	6	6_village_skirt_autumn_bread	cs
Erb_1823	0	0_spirit_flowers_maiden_wind	cs
Erb_1824	0	0_spirit_flowers_maiden_wind	cs
Erb_1827	7	7_tended herd_servant_plow_shepherd	cs
Erb_1828	0	0_spirit_flowers_maiden_wind	cs
Erb_1829	0	0_spirit_flowers_maiden_wind	cs
Erb_1831	0	0_spirit_flowers_maiden_wind	cs
Erb_1833	0	0_spirit_flowers_maiden_wind	cs
Erb_1834	7	7_tended herd_servant_plow_shepherd	cs
Erb_1836	0	0_spirit_flowers_maiden_wind	cs
Erb_1838	0	0_spirit_flowers_maiden_wind	cs
Erb_1839	7	7_tended herd_servant_plow_shepherd	cs
Erb_1840	8	8_bride_wedding_maidens_marriage	cs
Erb_1843	0	0_spirit_flowers_maiden_wind	cs
Erb_1844	0	0_spirit_flowers_maiden_wind	cs
Erb_1848	0	0_spirit_flowers_maiden_wind	cs
Erb_1858	8	8_bride_wedding_maidens_marriage	cs
Erb_1860	0	0_spirit_flowers_maiden_wind	cs
Erb_1861	0	0_spirit_flowers_maiden_wind	cs
Erb_1864	0	0_spirit_flowers_maiden_wind	cs
Erb_1865	0	0_spirit_flowers_maiden_wind	cs
Erb_1866	0	0_spirit_flowers_maiden_wind	cs
Erb_1867	0	0_spirit_flowers_maiden_wind	cs
Erb_1868	3	3_servant_servants_piet_dip	cs
Erb_1872	6	6_village_skirt_autumn_bread	cs
Erb_1873	0	0_spirit_flowers_maiden_wind	cs
Erb_1874	0	0_spirit_flowers_maiden_wind	cs
Erb_1875	7	7_tended herd_servant_plow_shepherd	cs
